Customer_ID,Name,Gender,Age,Income,Purchases,Churn,City,Join_Date,Phone
1001,Aarav,Male,25,45000,5,No,Ahmedabad,2022-01-15,9876543210
1002,Diya,Female,32,62000,8,No,Surat,2021-06-20,9876543211
1003,Rohan,Male,29,54000,6,Yes,Vadodara,2020-03-12,9876543212
1004,Priya,Female,41,78000,12,No,Rajkot,2019-11-05,9876543213
1005,Karan,Male,35,,9,Yes,Ahmedabad,2021-09-18,9876543214
1006,Neha,Female,27,50000,4,No,Surat,2023-02-10,9876543215
1007,Arjun,Male,45,92000,15,No,Rajkot,2018-07-08,9876543216
1008,Meera,Female,,58000,7,Yes,Vadodara,2020-10-22,9876543217
1009,Rahul,Male,31,61000,8,No,Ahmedabad,2021-01-30,9876543218
1010,Ananya,Female,26,47000,3,No,Surat,2022-05-14,9876543219
1011,Vikram,Male,38,70000,11,Yes,Rajkot,2019-12-12,9876543220
1012,Sneha,Female,30,56000,6,No,Vadodara,2020-08-09,9876543221
1013,Yash,Male,24,42000,2,Yes,Ahmedabad,2023-03-15,9876543222
1014,Riya,Female,34,65000,10,No,Surat,2021-04-28,9876543223
1015,Harsh,Male,39,74000,13,No,Rajkot,2019-06-01,9876543224
1016,Khushi,Female,28,53000,5,Yes,Vadodara,2022-11-19,9876543225
1017,Aarav,Male,25,45000,5,No,Ahmedabad,2022-01-15,9876543210
1018,Isha,Female,36,69000,9,No,Surat,2020-09-21,9876543226
1019,Manav,Male,33,64000,,Yes,Rajkot,2021-08-18,9876543227
1020,Pooja,Female,40,81000,14,No,Vadodara,2018-12-05,9876543228
